Date,Adj Close
12/08/2020,11012.24023
13/08/2020,11042.5
14/08/2020,11019.29981
17/08/2020,11129.73047
18/08/2020,11210.83984
19/08/2020,11146.45996
20/08/2020,11264.9502
21/08/2020,11311.79981
24/08/2020,11379.71973
25/08/2020,11466.46973
26/08/2020,11665.05957
27/08/2020,11625.33984
28/08/2020,11695.62988
31/08/2020,11775.45996
01/09/2020,11939.66992
02/09/2020,12056.44043
03/09/2020,11458.09961
04/09/2020,11313.12988
08/09/2020,10847.69043
09/09/2020,11141.55957
10/09/2020,10919.58984
11/09/2020,10853.54981
14/09/2020,11056.65039
15/09/2020,11190.32031
16/09/2020,11050.46973
17/09/2020,10910.28027
18/09/2020,10793.28027
21/09/2020,10778.79981
22/09/2020,10963.63965
23/09/2020,10632.99023
24/09/2020,10672.26953
25/09/2020,10913.55957
28/09/2020,11117.53027
29/09/2020,11085.25
30/09/2020,11167.50977
01/10/2020,11326.50977
02/10/2020,11075.01953
05/10/2020,11332.49023
06/10/2020,11154.59961
07/10/2020,11364.59961
08/10/2020,11420.98047
09/10/2020,11579.94043
12/10/2020,11876.25977
13/10/2020,11863.90039
14/10/2020,11768.73047
15/10/2020,11713.87012
16/10/2020,11671.55957
19/10/2020,11478.87988
20/10/2020,11516.49023
21/10/2020,11484.69043
22/10/2020,11506.00977
23/10/2020,11548.28027
26/10/2020,11358.94043
27/10/2020,11431.34961
28/10/2020,11004.87012
29/10/2020,11185.58984
30/10/2020,10911.58984
02/11/2020,10957.61035
03/11/2020,11160.57031
04/11/2020,11590.78027
05/11/2020,11890.92969
06/11/2020,11895.23047
09/11/2020,11713.78027
10/11/2020,11553.86035
11/11/2020,11786.42969
12/11/2020,11709.58984
13/11/2020,11829.29004
16/11/2020,11924.12988
17/11/2020,11899.33984
18/11/2020,11801.59961
19/11/2020,11904.70996
20/11/2020,11854.96973
23/11/2020,11880.62988
24/11/2020,12036.79004
25/11/2020,12094.40039
27/11/2020,12205.84961
30/11/2020,12198.74023
01/12/2020,12355.11035
02/12/2020,12349.37012
03/12/2020,12377.17969
04/12/2020,12464.23047
07/12/2020,12519.9502
08/12/2020,12582.76953
09/12/2020,12338.9502
10/12/2020,12405.80957
11/12/2020,12377.87012
14/12/2020,12440.04004
15/12/2020,12595.05957
16/12/2020,12658.19043
17/12/2020,12764.75
18/12/2020,12755.63965
21/12/2020,12742.51953
22/12/2020,12807.91992
23/12/2020,12771.11035
24/12/2020,12804.73047
28/12/2020,12899.41992
29/12/2020,12850.21973
30/12/2020,12870
31/12/2020,12888.28027
04/01/2021,12698.4502
05/01/2021,12818.95996
06/01/2021,12740.79004
07/01/2021,13067.48047
08/01/2021,13201.98047
11/01/2021,13036.42969
12/01/2021,13072.42969
13/01/2021,13128.9502
14/01/2021,13112.63965
15/01/2021,12998.5
19/01/2021,13197.17969
20/01/2021,13457.25
21/01/2021,13530.91016
22/01/2021,13543.05957
25/01/2021,13635.99023
26/01/2021,13626.05957
27/01/2021,13270.59961
28/01/2021,13337.16016
29/01/2021,13070.69043
01/02/2021,13403.38965
02/02/2021,13612.78027
03/02/2021,13610.54004
04/02/2021,13777.74023
05/02/2021,13856.29981
08/02/2021,13987.63965
09/02/2021,14007.7002
10/02/2021,13972.53027
11/02/2021,14025.76953
12/02/2021,14095.46973
16/02/2021,14047.5
17/02/2021,13965.49023
18/02/2021,13865.36035
19/02/2021,13874.45996
22/02/2021,13533.04981
23/02/2021,13465.2002
24/02/2021,13597.96973
25/02/2021,13119.42969
26/02/2021,13192.34961
01/03/2021,13588.83008
02/03/2021,13358.79004
03/03/2021,12997.75
04/03/2021,12723.46973
05/03/2021,12920.15039
08/03/2021,12609.16016
09/03/2021,13073.82031
10/03/2021,13068.83008
11/03/2021,13398.66992
12/03/2021,13319.86035
15/03/2021,13459.70996
16/03/2021,13471.57031
17/03/2021,13525.2002
18/03/2021,13116.16992
19/03/2021,13215.24023
22/03/2021,13377.54004
23/03/2021,13227.7002
24/03/2021,12961.88965
25/03/2021,12977.67969
26/03/2021,13138.73047
29/03/2021,13059.65039
30/03/2021,13045.38965
31/03/2021,13246.87012
01/04/2021,13480.11035
05/04/2021,13705.58984
06/04/2021,13698.37988
07/04/2021,13688.83984
08/04/2021,13829.30957
09/04/2021,13900.19043
12/04/2021,13850
